ChEMBL,text,labels
CHEMBL262306,CCN1C[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2cn(C)cn2)NC(=O)[C@@H](CC(=O)N2CCOCC2)Cc2ccccc2)OC1=O,1
CHEMBL3142776,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)[C@@H](O)CC(=O)O,1
CHEMBL297595,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCCN1CCOCC1)C(C)C,1
CHEMBL266334,CCSC(NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CC(C)C,1
CHEMBL48481,CCCCC(=O)N[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,1
CHEMBL300036,CCOC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CCS(=O)(=O)C(C)C,1
CHEMBL3142207,CCOC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CS(=O)(=O)C(C)C,1
CHEMBL291240,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CC1CS(=O)(=O)c2ccccc21)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)NCCCC(=O)O,1
CHEMBL291119,C[C@@H]1CO[C@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C1,1
CHEMBL4128438,COCCCCn1c(C(=O)N(CC(C)C)[C@H]2CCCNC2)nc2ccccc21,1
CHEMBL1269021,CN(c1ccccc1)c1c(C(=O)N2CCNCC2)c2ccccc2n1-c1ccccc1,1
CHEMBL1270071,O=C(c1c(Oc2cccc(C(F)(F)F)c2)n(-c2ccccc2)c2ccccc12)N1CCNCC1,1
CHEMBL407670,CC[C@H](C)[C@H](NC(=O)[C@@H](NC[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)O,1
CHEMBL496826,CCc1cccc([C@](O)(CCCCOC)[C@@H]2CCCN(C(=O)N[C@H](CNC)CC3CCCCC3)C2)c1,1
CHEMBL264264,CC[C@H](C)[C@H](NC(=O)[C@@H](NC[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](CCCCN)C(=O)O,1
CHEMBL322450,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCC(=O)OCc1ccccc1)C(C)C,1
CHEMBL291091,CC(C)C[C@H](NC(=O)C(F)(F)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,1
CHEMBL451603,COc1cccc(CN(C(=O)C2=C(c3ccc(CN(C)Cc4c(F)ccc(F)c4Cl)cc3)CC3CNCC2N3)C2CC2)c1C,1
CHEMBL508158,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CN(C(=O)Cc4ccc(Cl)cc4)C[C@@H](C2)N3)cc1,1
CHEMBL3400435,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NCc2ccc3ccccc3c2)C(C)C)ccc1OC,1
CHEMBL245189,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCNC(N)=O)C(C)C,1
CHEMBL1270974,O=C(c1c(Oc2ccccc2)n(-c2ccc(F)cc2)c2ccccc12)N1CCNCC1,1
CHEMBL1269857,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2cc(O)ccc2n1-c1ccccc1,1
CHEMBL1270470,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccc(S(C)(=O)=O)cc2n1-c1ccccc1,1
CHEMBL320686,CN1CCN(C(=O)CS(=O)(=O)C[C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)CC1,1
CHEMBL411885,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCNC(C)=O)CCC3)cc1,1
CHEMBL3143481,CC[C@H](C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CC[C@H](N)C(=O)O)C(C)C)C(=O)NCc1cccc[n+]1[O-],1
CHEMBL166798,CCC[C@H](NC(=O)[C@H](Cc1ccccc1)N1Cc2ccccc2C1=O)C(=O)N[C@@H](CC1CCCCC1)C(O)C(=O)OC(C)C,1
CHEMBL352523,COC(=O)C(O)[C@H](CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,1
CHEMBL4126453,COCCCCn1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)nnc1-c1ccccc1,1
CHEMBL4129081,COCCCCc1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)nnn1-c1ccccc1,1
CHEMBL3144113,CC(C)C[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)[C@H](O)CSCCc1ccccc1,1
CHEMBL331117,C[C@@H](NC(=O)[C@H](Cc1ccccc1)NP(=O)(O)Oc1ccccc1)C(=O)O,1
CHEMBL1269675,CCNCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,1
CHEMBL2322610,COCCCOc1cc(C(=O)N(CC2CNCC2Cc2ccccc2)C(C)C)ccc1OC.Cl,1
CHEMBL241457,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCOCC(F)(F)F)C(=O)C(C)(c1cc(F)cc(F)c1)O2,1
